t,vm
0,0.000
0.100,0.100
0.200,0.200
0.300,0.299
0.400,0.497
0.500,0.995
0.600,1.190
0.700,1.284
0.800,1.677
0.900,1.669
1.000,1.861
1.100,2.051
1.200,2.141
1.300,2.330
1.400,2.519
1.500,2.806
1.600,2.992
1.700,3.677
1.800,3.659
1.900,3.941
2.000,4.021
2.100,4.101
2.200,4.181
2.300,4.460
2.400,4.737
2.500,4.914
2.600,4.889
2.700,5.065
2.800,5.140
2.900,5.114
3.000,5.188
3.100,5.463
3.200,5.635
3.300,5.807
3.400,5.878
3.500,5.949
3.600,6.219
3.700,6.288
3.800,6.357
3.900,6.425
4.000,6.893
4.100,6.859
4.200,6.925
4.300,7.090
4.400,7.155
4.500,7.219
4.600,7.483
4.700,7.546
4.800,7.608
4.900,7.670
5.000,8.032
5.100,8.092
5.200,8.151
5.300,8.411
5.400,8.869
5.500,9.025
5.600,9.280
5.700,9.233
5.800,9.387
5.900,9.440
6.000,9.593
6.100,9.545
6.200,9.698
6.300,9.850
6.400,10.100
6.500,10.050
6.600,10.200
6.700,10.549
6.800,10.696
6.900,10.943
7.000,11.088
7.100,11.333
7.200,11.577
7.300,11.519
7.400,11.961
7.500,11.902
7.600,12.042
7.700,12.382
7.800,12.421
7.900,12.459
8.000,12.797
8.100,12.833
8.200,13.169
8.300,13.103
8.400,13.138
8.500,13.672
8.600,13.704
8.700,13.736
8.800,13.867
8.900,14.298
9.000,14.327
9.100,14.255
9.200,14.384
9.300,14.412
9.400,14.640
9.500,14.667
9.600,14.594
9.700,14.722
9.800,14.748
9.900,14.875
10.000,14.800
10.100,14.827
10.200,15.253
10.300,15.276
10.400,15.300
10.500,15.624
10.600,15.646
10.700,15.568
10.800,15.590
10.900,15.713
11.000,15.734
11.100,15.856
11.200,15.977
11.300,16.197
11.400,16.116
11.500,16.336
11.600,16.354
11.700,16.473
11.800,16.891
11.900,16.906
12.000,17.222
12.100,17.336
12.200,17.450
12.300,17.563
12.400,17.475
12.500,17.588
12.600,17.300
12.700,16.814
12.800,16.730
12.900,17.047
13.000,17.462
13.100,16.875
13.200,16.490
13.300,16.908
13.400,17.824
13.500,17.535
13.600,17.947
13.700,17.858
13.800,17.769
13.900,18.380
14.000,17.489
14.100,16.501
14.200,14.819
14.300,13.245
14.400,10.879
14.500,6.325
14.600,9.493
14.700,9.146
14.800,8.200
14.900,7.659
15.000,7.621
15.100,7.383
15.200,7.846
15.300,8.407
15.400,9.465
15.500,9.818
15.600,10.169
15.700,9.518
15.800,9.971
15.900,10.321
16.000,10.470
16.100,10.618
16.200,10.665
16.300,11.311
16.400,11.455
16.500,11.698
16.600,11.839
16.700,11.880
16.800,12.421
16.900,12.659
17.000,12.896
17.100,12.932
17.200,13.067
17.300,13.402
17.400,13.535
17.500,13.868
17.600,13.999
17.700,14.029
17.800,14.159
17.900,14.288
18.000,14.417
18.100,14.745
18.200,14.771
18.300,15.098
18.400,15.622
18.500,15.745
18.600,15.866
18.700,15.987
18.800,16.407
18.900,16.725
19.000,16.942
19.100,16.657
19.200,16.774
19.300,16.891
19.400,17.206
19.500,17.421
19.600,17.334
19.700,17.347
19.800,17.661
19.900,17.673
20.000,17.885
20.100,18.095
20.200,18.405
20.300,18.813
20.400,18.519
20.500,18.727
20.600,18.534
20.700,19.041
20.800,19.346
20.900,19.750
21.000,19.151
21.100,19.656
21.200,20.058
21.200,10.000
21.300,10.000
21.400,10.000
21.500,10.000
21.600,10.000
21.700,10.000
21.800,10.000
21.900,10.000
22.000,10.000
22.100,10.000
22.200,10.000
22.300,10.000
22.400,10.000
22.500,10.000
22.600,10.000
22.700,10.000
22.800,10.000
22.900,10.000
23.000,10.000
23.100,10.000
23.200,10.050
23.300,10.200
23.400,10.549
23.500,11.197
23.600,12.241
23.700,12.080
23.800,12.319
23.900,12.258
24.000,12.997
24.100,11.732
24.200,12.873
24.300,12.609
24.400,12.746
24.500,13.583
24.600,13.315
24.700,13.349
24.800,13.282
24.900,13.616
25.000,13.748
25.100,12.879
25.200,12.815
25.300,13.351
25.400,12.885
25.500,13.620
25.600,13.152
25.700,13.487
25.800,13.620
25.900,12.852
26.000,12.688
26.100,13.124
26.200,12.459
26.300,11.997
26.400,11.837
26.500,12.178
26.600,12.217
26.700,12.756
26.800,12.992
26.900,13.028
27.000,12.763
27.100,12.299
27.200,12.738
27.300,12.874
27.400,13.410
27.500,13.643
27.600,13.975
27.700,13.205
27.800,13.739
27.900,13.371
28.000,13.604
28.100,14.136
28.200,14.166
28.300,13.395
28.400,14.028
28.500,13.458
28.600,12.391
28.700,11.830
28.800,12.271
28.900,12.809
29.000,12.545
29.100,12.283
29.200,13.222
29.300,12.956
29.400,13.591
29.500,13.823
29.600,14.154
29.700,13.784
29.800,14.015
29.900,14.245
30.000,14.274
30.100,14.703
30.200,14.530
30.300,13.857
30.400,14.788
30.500,14.214
30.600,14.543
30.700,14.071
30.800,14.401
30.900,14.629
31.000,14.756
31.100,14.882
31.200,15.108
31.300,15.433
31.400,15.056
31.500,15.081
31.600,15.405
31.700,15.829
31.800,14.950
31.900,14.875
32.000,15.101
32.100,15.426
32.200,15.149
32.300,14.373
32.400,14.301
32.500,14.030
32.600,13.860
32.700,12.691
32.800,13.128
32.900,13.662
33.000,13.194
33.100,13.828
33.200,13.459
33.300,13.592
33.400,13.024
33.500,12.959
33.600,12.095
33.700,12.434
33.800,12.272
33.900,12.611
34.000,12.848
34.100,12.884
34.200,13.020
34.300,12.755
34.400,12.991
34.500,12.327
34.600,12.865
34.700,12.701
34.800,12.238
34.900,12.477
35.000,12.414
35.100,12.452
35.200,12.390
35.300,12.128
35.400,12.168
35.500,12.207
35.600,12.846
35.700,13.082
35.800,13.517
35.900,14.350
36.000,15.278
36.100,14.802
36.200,14.828
36.300,15.054
36.400,15.379
36.500,16.102
36.600,16.722
36.700,16.839
36.800,16.555
36.900,17.072
37.000,17.487
37.100,18.300
