t,vm
0,0.000
0.045,0.100
0.138,0.200
0.235,0.299
0.329,0.397
0.378,0.496
0.403,0.596
0.420,0.695
0.423,0.795
0.439,0.894
0.472,0.993
0.555,1.089
0.588,1.187
0.613,1.285
0.703,1.380
0.724,1.478
0.776,1.574
0.799,1.673
0.956,1.759
0.964,1.859
1.066,1.949
1.098,2.046
1.179,2.138
1.216,2.234
1.272,2.328
1.336,2.420
1.380,2.515
1.418,2.610
1.489,2.701
1.495,2.800
1.527,2.896
1.537,2.994
1.604,3.084
1.616,3.182
1.624,3.281
1.643,3.378
1.651,3.477
1.664,3.574
1.688,3.670
1.805,3.749
1.835,3.843
1.882,3.934
1.998,4.011
2.004,4.110
2.179,4.174
2.232,4.263
2.241,4.361
2.263,4.457
2.333,4.541
2.379,4.630
2.399,4.726
2.401,4.825
2.451,4.913
2.611,4.974
2.664,5.061
2.714,5.148
2.982,5.180
3.026,5.269
3.053,5.362
3.085,5.453
3.134,5.540
3.154,5.634
3.210,5.718
3.229,5.813
3.305,5.891
3.454,5.947
3.509,6.031
3.509,6.131
3.558,6.216
3.614,6.298
3.793,6.342
3.898,6.409
3.934,6.498
3.936,6.597
3.966,6.687
3.967,6.786
3.997,6.877
4.191,6.910
4.213,7.002
4.246,7.091
4.304,7.170
4.411,7.232
4.536,7.287
4.548,7.383
4.590,7.467
4.690,7.530
4.725,7.617
4.850,7.669
4.977,7.721
4.981,7.819
4.997,7.913
4.998,8.013
5.090,8.076
5.142,8.155
5.234,8.217
5.250,8.311
5.275,8.400
5.315,8.484
5.324,8.580
5.347,8.670
5.355,8.766
5.398,8.848
5.458,8.921
5.475,9.013
5.504,9.101
5.574,9.169
5.600,9.257
5.713,9.305
5.764,9.381
5.875,9.429
5.932,9.502
5.962,9.588
6.154,9.597
6.160,9.694
6.233,9.758
6.259,9.845
6.315,9.918
6.330,10.011
6.349,10.101
6.517,10.117
6.561,10.194
6.615,10.267
6.653,10.347
6.666,10.440
6.691,10.527
6.740,10.602
6.772,10.685
6.804,10.768
6.867,10.834
6.884,10.925
6.908,11.012
6.977,11.074
7.082,11.116
7.088,11.213
7.093,11.310
7.114,11.397
7.155,11.475
7.156,11.574
7.330,11.574
7.349,11.662
7.362,11.755
7.369,11.851
7.374,11.948
7.581,11.925
7.596,12.016
7.635,12.093
7.665,12.175
7.670,12.271
7.692,12.358
7.723,12.439
7.815,12.481
7.933,12.508
7.935,12.607
7.970,12.685
7.979,12.779
8.055,12.831
8.155,12.867
8.181,12.950
8.189,13.045
8.191,13.144
8.393,13.111
8.416,13.196
8.444,13.278
8.446,13.376
8.469,13.461
8.470,13.561
8.483,13.652
8.555,13.702
8.700,13.704
8.769,13.757
8.790,13.842
8.823,13.919
8.844,14.005
8.854,14.098
8.863,14.191
8.894,14.269
8.998,14.295
9.142,14.292
9.189,14.359
9.235,14.426
9.311,14.471
9.346,14.546
9.348,14.644
9.409,14.701
9.652,14.622
9.668,14.711
9.725,14.769
9.825,14.796
9.894,14.844
10.061,14.821
10.102,14.891
10.113,14.982
10.126,15.073
10.138,15.163
10.181,15.232
10.211,15.309
10.386,15.275
10.443,15.331
10.448,15.428
10.451,15.526
10.484,15.600
10.591,15.617
10.778,15.571
10.826,15.634
10.865,15.703
10.962,15.728
11.030,15.774
11.062,15.849
11.119,15.904
11.165,15.967
11.228,16.017
11.260,16.091
11.290,16.167
11.409,16.172
11.416,16.266
11.429,16.355
11.536,16.368
11.653,16.372
11.705,16.430
11.720,16.518
11.725,16.614
11.761,16.783
11.780,16.868
11.808,16.944
11.916,16.953
11.973,17.004
11.982,17.097
11.999,17.182
12.003,17.278
12.037,17.350
12.114,17.383
12.127,17.471
12.233,17.479
12.252,17.562
12.410,17.524
12.442,17.596
12.504,17.642
12.513,17.734
12.569,17.185
12.578,17.277
12.630,17.332
12.642,17.421
12.652,17.512
12.660,17.606
12.681,17.087
12.692,16.578
12.696,16.674
12.735,16.742
12.757,16.823
12.758,16.923
12.759,17.022
12.788,16.497
12.790,16.596
12.799,16.688
12.804,16.784
12.813,16.877
12.816,16.374
12.856,16.441
12.860,16.538
12.872,16.628
12.876,16.725
12.886,16.817
12.889,16.914
12.947,16.965
12.962,17.052
12.966,17.149
12.975,17.241
12.978,17.339
12.991,17.427
13.009,17.511
13.029,17.594
13.038,17.686
13.058,17.769
13.058,17.268
13.069,17.358
13.070,17.458
13.081,17.548
13.082,17.048
13.090,17.141
13.092,17.239
13.097,17.335
13.098,16.834
13.102,16.930
13.117,17.018
13.135,16.503
13.137,16.001
13.149,16.091
13.161,16.182
13.162,16.281
13.193,16.356
13.214,16.439
13.220,16.533
13.231,16.624
13.234,16.722
13.236,16.820
13.248,16.910
13.250,17.008
13.254,17.105
13.294,17.171
13.296,16.669
13.297,16.769
13.302,16.864
13.317,16.951
13.328,16.442
13.341,16.532
13.342,16.630
13.345,16.728
13.346,16.827
13.349,16.925
13.351,17.023
13.376,17.102
13.380,17.199
13.380,17.398
13.383,17.496
13.385,17.594
13.397,17.683
13.400,17.781
13.409,17.872
13.414,17.968
13.424,18.059
13.450,18.135
13.455,17.632
13.470,17.718
13.474,17.815
13.474,17.315
13.476,16.813
13.477,16.912
13.482,16.408
13.484,16.506
13.484,16.606
13.490,16.701
13.493,16.798
13.494,16.898
13.499,17.193
13.502,17.291
13.505,16.788
13.507,16.887
13.510,16.985
13.512,17.083
13.514,17.181
13.515,17.280
13.520,17.375
13.522,17.474
13.523,17.573
13.531,17.066
13.533,17.164
13.537,17.261
13.540,17.358
13.541,17.457
13.545,17.554
13.547,17.152
13.548,17.252
13.551,16.749
13.572,16.831
13.573,16.930
13.575,17.028
13.582,17.123
13.582,17.222
13.592,17.314
13.597,17.410
13.599,17.508
13.600,17.607
13.601,17.706
13.603,17.805
13.604,17.903
13.607,18.001
13.614,18.094
13.616,17.593
13.618,17.691
13.619,17.790
13.621,17.288
13.628,17.382
13.633,17.478
13.644,17.568
13.652,17.662
13.670,17.746
13.684,17.433
13.689,17.529
13.699,17.620
13.704,17.715
13.712,17.208
13.718,17.303
13.724,17.398
13.730,17.493
13.733,17.590
13.749,17.076
13.753,17.172
13.754,17.272
13.762,17.365
13.778,16.951
13.780,17.050
13.780,17.149
13.785,16.645
13.798,16.735
13.804,16.829
13.807,16.926
13.810,17.024
13.812,17.122
13.822,16.614
13.823,16.713
13.824,16.812
13.830,16.908
13.831,17.006
13.840,17.098
13.843,17.296
13.844,17.396
13.850,17.490
13.852,17.588
13.867,17.075
13.873,17.270
13.874,17.469
13.876,17.568
13.880,17.664
13.881,17.763
13.883,17.861
13.891,17.954
13.898,18.148
13.900,18.246
13.914,18.333
13.916,18.431
13.917,18.530
13.919,18.629
13.923,18.725
13.930,18.818
13.932,18.916
13.932,19.016
13.934,19.114
13.934,19.214
13.936,19.312
13.938,19.410
13.954,19.495
13.956,18.994
13.957,18.492
13.960,18.589
13.962,18.687
13.974,18.777
13.974,18.876
13.984,17.967
13.984,18.067
13.984,18.167
13.989,18.263
13.991,18.361
13.991,18.561
13.993,18.059
13.999,18.154
13.999,18.253
14.001,17.751
14.004,17.849
14.006,17.947
14.010,17.443
14.013,17.740
14.014,17.840
14.018,17.436
14.019,17.635
14.022,17.233
14.028,16.728
14.040,17.018
14.043,17.115
14.045,17.213
14.048,16.711
14.049,16.810
14.050,16.309
14.051,16.408
14.053,16.506
14.055,16.005
14.059,16.102
14.065,16.197
14.069,16.294
14.070,16.393
14.071,16.592
14.078,16.186
14.080,16.284
14.081,16.384
14.084,15.882
14.085,15.980
14.086,16.080
14.088,16.178
14.095,15.873
14.096,15.972
14.099,16.070
14.101,16.168
14.103,15.666
14.110,15.761
14.115,15.856
14.116,15.956
14.117,16.055
