t,vm
0,0.000
0.100,0.100
0.200,0.200
0.300,0.299
0.400,0.497
0.500,0.995
0.600,1.190
0.700,1.284
0.800,1.677
0.900,1.669
1.000,1.860
1.100,2.051
1.200,2.141
1.300,2.330
1.400,2.519
1.500,2.806
1.600,2.992
1.700,3.677
1.800,3.659
1.900,3.940
2.000,4.021
2.100,4.100
2.200,4.180
2.300,4.459
2.400,4.737
2.500,4.913
2.600,4.889
2.700,5.064
2.800,5.139
2.900,5.113
3.000,5.188
3.100,5.462
3.200,5.634
3.300,5.806
3.400,5.877
3.500,5.948
3.600,6.218
3.700,6.287
3.800,6.355
3.900,6.424
4.000,6.892
4.100,6.857
4.200,6.923
4.300,7.088
4.400,7.153
4.500,7.217
4.600,7.481
4.700,7.543
4.800,7.606
4.900,7.668
5.000,8.029
5.100,8.089
5.200,8.149
5.300,8.408
5.400,8.866
5.500,9.022
5.600,9.277
5.700,9.230
5.800,9.384
5.900,9.437
6.000,9.590
6.100,9.542
6.200,9.694
6.300,9.846
6.400,10.097
6.500,10.046
6.600,10.196
6.700,10.545
6.800,10.692
6.900,10.939
7.000,11.084
7.100,11.329
7.200,11.572
7.300,11.514
7.400,11.957
7.500,11.897
7.600,12.037
7.700,12.377
7.800,12.415
7.900,12.453
8.000,12.791
8.100,12.827
8.200,13.163
8.300,13.097
8.400,13.131
8.500,13.666
8.600,13.697
8.700,13.729
8.800,13.860
8.900,14.291
9.000,14.320
9.100,14.248
9.200,14.377
9.300,14.405
9.400,14.633
9.500,14.660
9.600,14.586
9.700,14.713
9.800,14.740
9.900,14.866
10.000,14.792
10.100,14.818
10.200,15.244
10.300,15.268
10.400,15.291
10.500,15.615
10.600,15.637
10.700,15.559
10.800,15.581
10.900,15.703
11.000,15.724
11.100,15.846
11.200,15.966
11.300,16.187
11.400,16.106
11.500,16.325
11.600,16.344
11.700,16.462
11.800,16.880
11.900,16.895
12.000,17.211
12.100,17.325
12.200,17.438
12.300,17.551
12.400,17.463
12.500,17.576
12.600,17.288
12.700,16.801
12.800,16.717
12.900,16.934
13.000,17.449
13.100,16.862
13.200,16.478
13.300,16.895
13.400,18.211
13.500,17.720
13.600,17.731
13.700,17.642
13.800,17.654
13.900,18.366
14.000,17.574
14.100,16.586
14.200,15.803
14.300,13.024
14.400,11.159
14.500,6.903
14.600,9.869
14.700,9.019
14.800,8.074
14.900,7.734
15.000,8.095
15.100,7.855
15.200,8.116
15.300,8.475
15.400,8.533
15.500,8.790
15.600,8.646
15.700,9.203
15.800,9.757
15.900,9.508
16.000,9.760
16.100,10.112
16.200,10.161
16.300,10.510
16.400,10.758
16.500,10.904
16.600,11.049
16.700,11.094
16.800,11.439
16.900,11.682
17.000,11.923
17.100,12.063
17.200,12.203
17.300,12.542
17.400,12.679
17.500,13.016
17.600,13.151
17.700,13.285
17.800,13.319
17.900,13.652
18.000,13.884
18.100,14.215
18.200,14.343
18.300,14.672
18.400,15.298
18.500,15.522
18.600,15.744
18.700,15.366
18.800,15.789
18.900,15.910
19.000,16.130
19.100,16.350
19.200,16.468
19.300,16.885
19.400,17.501
19.500,17.814
19.600,17.424
19.700,17.037
19.800,16.552
19.900,16.569
20.000,16.087
20.100,16.206
20.200,16.525
20.300,16.942
20.400,16.758
20.500,16.874
20.600,16.990
20.700,17.005
20.800,17.220
20.900,17.634
21.000,17.345
21.100,17.759
21.200,17.770
21.300,17.981
21.400,18.091
21.500,18.201
21.600,17.610
21.700,17.822
21.800,18.332
21.900,17.341
22.000,17.254
22.100,17.068
22.200,16.583
22.300,16.200
22.400,16.219
22.500,16.738
22.600,16.854
22.700,16.770
22.800,17.286
22.900,16.599
23.000,16.616
23.100,16.533
23.200,16.851
23.300,16.366
23.400,16.884
23.500,16.700
23.600,16.717
23.700,16.833
23.800,17.349
23.900,17.262
24.000,17.376
24.100,17.189
24.200,16.803
24.300,17.719
24.400,17.430
24.500,17.143
24.600,16.857
24.700,17.173
24.800,16.487
24.900,15.505
25.000,16.327
25.100,17.146
25.200,17.860
25.300,18.871
25.400,19.176
25.500,19.480
25.600,19.083
25.700,20.188
25.700,10.000
25.800,10.000
25.900,10.000
26.000,10.000
26.100,10.000
26.200,10.000
26.300,10.000
26.400,10.000
26.500,10.000
26.600,10.000
26.700,10.000
26.800,10.000
26.900,10.000
27.000,10.000
27.100,10.000
27.200,10.000
27.300,10.000
27.400,10.000
27.500,10.000
27.600,10.000
27.700,9.050
27.800,9.305
27.900,9.558
28.000,9.310
28.100,9.664
28.200,9.716
28.300,10.167
28.400,9.816
28.500,8.967
28.600,9.122
28.700,9.177
28.800,9.231
28.900,9.885
29.000,10.035
29.100,10.785
29.200,11.331
29.300,11.374
29.400,11.618
29.500,10.959
29.600,11.205
29.700,11.249
29.800,11.392
29.900,11.635
30.000,11.977
30.100,11.817
30.200,12.058
30.300,11.998
30.400,11.838
30.500,11.779
30.600,11.620
30.700,11.662
30.800,12.003
30.900,11.543
31.000,11.886
31.100,11.826
31.200,11.867
31.300,11.608
31.400,11.850
31.500,11.991
31.600,11.531
31.700,11.873
31.800,11.614
31.900,11.356
32.000,11.899
32.100,11.939
32.200,11.380
32.300,11.523
32.400,11.265
32.500,11.409
32.600,11.752
32.700,11.393
32.800,11.636
32.900,11.878
33.000,12.218
33.100,11.657
33.200,11.399
33.300,11.742
33.400,11.683
33.500,11.925
33.600,11.765
33.700,12.306
33.800,13.045
33.900,12.680
34.000,12.616
34.100,13.253
34.200,11.187
34.300,12.031
34.400,11.371
34.500,12.714
34.600,12.750
34.700,13.387
34.800,13.020
34.900,13.055
35.000,12.689
35.100,13.126
35.200,12.160
35.300,11.399
35.400,11.142
35.500,10.487
35.600,9.934
35.700,8.985
35.800,9.440
35.900,9.693
36.000,9.544
36.100,9.296
36.200,9.050
36.300,7.605
36.400,8.067
36.500,8.426
36.600,8.284
36.700,7.943
36.800,7.603
36.900,8.165
37.000,8.724
37.100,9.381
