t,vm
0,0.000
0.100,0.100
0.200,0.199
0.300,0.297
0.400,0.495
0.500,0.990
0.600,1.184
0.700,1.277
0.800,1.669
0.900,1.661
1.000,1.851
1.100,2.041
1.200,2.131
1.300,2.319
1.400,2.506
1.500,2.792
1.600,2.978
1.700,3.659
1.800,3.641
1.900,3.921
2.000,4.001
2.100,4.081
2.200,4.160
2.300,4.438
2.400,4.714
2.500,4.890
2.600,4.866
2.700,5.040
2.800,5.115
2.900,5.089
3.000,5.164
3.100,5.436
3.200,5.608
3.300,5.780
3.400,5.850
3.500,5.921
3.600,6.190
3.700,6.258
3.800,6.327
3.900,6.395
4.000,6.861
4.100,6.826
4.200,6.892
4.300,7.057
4.400,7.121
4.500,7.185
4.600,7.448
4.700,7.510
4.800,7.572
4.900,7.634
5.000,7.994
5.100,8.054
5.200,8.113
5.300,8.372
5.400,8.827
5.500,8.983
5.600,9.236
5.700,9.190
5.800,9.344
5.900,9.397
6.000,9.549
6.100,9.501
6.200,9.653
6.300,9.804
6.400,10.054
6.500,10.004
6.600,10.153
6.700,10.501
6.800,10.647
6.900,10.893
7.000,11.038
7.100,11.281
7.200,11.524
7.300,11.466
7.400,11.907
7.500,11.848
7.600,11.988
7.700,12.326
7.800,12.364
7.900,12.402
8.000,12.739
8.100,12.775
8.200,13.109
8.300,13.044
8.400,13.078
8.500,13.610
8.600,13.642
8.700,13.674
8.800,13.805
8.900,14.234
9.000,14.262
9.100,14.191
9.200,14.320
9.300,14.348
9.400,14.575
9.500,14.602
9.600,14.530
9.700,14.656
9.800,14.683
9.900,14.809
10.000,14.735
10.100,14.761
10.200,15.185
10.300,15.209
10.400,15.233
10.500,15.555
10.600,15.578
10.700,15.500
10.800,15.522
10.900,15.644
11.000,15.666
11.100,15.787
11.200,15.907
11.300,16.127
11.400,16.047
11.500,16.265
11.600,16.284
11.700,16.302
11.800,16.719
11.900,16.735
12.000,16.950
12.100,17.164
12.200,17.278
12.300,17.391
12.400,17.305
12.500,17.417
12.600,17.132
12.700,17.047
12.800,16.763
12.900,17.376
13.000,17.588
13.100,16.804
13.200,17.019
13.300,17.730
13.400,18.139
13.500,17.751
13.600,16.966
13.700,16.185
13.800,16.403
13.900,17.714
14.000,18.820
14.100,16.637
14.200,15.161
14.300,14.588
14.400,13.521
14.500,11.463
14.600,7.227
14.700,7.888
14.800,8.844
14.900,6.213
15.000,5.983
15.100,6.550
15.200,6.915
15.300,7.876
15.400,7.140
15.500,7.005
15.600,7.468
15.700,6.933
15.800,6.899
15.900,7.262
16.000,7.525
16.100,7.686
16.200,7.748
16.300,8.107
16.400,8.465
16.500,8.622
16.600,8.778
16.700,8.933
16.800,8.889
16.900,9.143
17.000,9.396
17.100,9.449
17.200,9.601
17.300,9.851
17.400,10.001
17.500,10.449
17.600,10.596
17.700,10.643
17.800,10.690
17.900,10.835
18.000,10.980
18.100,11.324
18.200,10.969
18.300,11.312
18.400,11.953
18.500,12.291
18.600,12.429
18.700,12.566
18.800,12.802
18.900,12.938
19.000,13.172
19.100,13.405
19.200,13.537
19.300,13.669
19.400,13.999
19.500,13.730
19.600,13.861
19.700,13.593
19.800,13.923
19.900,14.053
20.000,14.082
20.100,14.211
20.200,13.842
20.300,14.171
20.400,14.399
20.500,14.626
20.600,15.051
20.700,15.474
20.800,15.894
20.900,16.213
21.000,15.436
21.100,15.459
21.200,14.984
21.300,15.407
21.400,15.529
21.500,15.452
21.600,15.375
21.700,14.602
21.800,13.833
21.900,13.963
22.000,14.291
22.100,15.215
22.200,15.538
22.300,15.858
22.400,15.381
22.500,15.404
22.600,15.527
22.700,15.251
22.800,13.583
22.900,13.316
23.000,13.648
23.100,13.480
23.200,13.314
23.300,12.551
23.400,12.887
23.500,13.022
23.600,13.554
23.700,12.889
23.800,13.422
23.900,13.654
24.000,14.283
24.100,15.405
24.200,15.229
24.300,15.552
24.400,15.773
24.500,16.490
24.600,17.005
24.700,17.518
24.800,17.928
24.900,18.038
25.000,18.048
25.100,16.764
25.200,17.874
25.300,17.785
25.400,16.702
25.500,17.017
25.600,17.828
25.700,17.540
25.800,17.751
25.900,15.772
26.000,15.893
26.100,15.316
26.200,15.439
26.300,15.263
26.400,15.286
26.500,15.807
26.600,15.231
26.700,15.454
26.800,16.273
26.900,16.092
27.000,16.311
27.100,15.732
27.200,16.350
27.300,16.070
27.400,16.587
27.500,16.504
27.600,16.124
27.700,16.342
27.800,16.161
27.900,16.180
28.000,16.498
28.100,16.615
28.200,16.831
28.300,17.045
28.400,17.359
28.500,17.571
28.600,17.782
28.700,17.793
28.800,16.809
28.900,16.924
29.000,17.039
29.100,17.054
29.200,16.969
29.300,17.183
29.400,16.699
29.500,17.114
29.600,16.830
29.700,17.045
29.800,17.358
29.900,17.769
30.000,17.979
30.100,18.387
30.200,17.699
30.300,17.611
30.400,18.020
30.500,18.030
30.600,17.841
30.700,18.150
30.800,17.961
30.900,17.871
31.000,17.882
31.100,15.803
31.200,16.520
31.300,16.438
31.400,15.660
31.500,14.686
31.600,12.524
31.700,11.864
31.800,12.303
31.900,12.938
32.000,13.371
32.100,13.802
32.200,12.938
32.300,13.669
32.400,13.701
32.500,13.234
32.600,12.373
32.700,11.117
32.800,11.360
32.900,11.304
33.000,11.944
33.100,12.084
33.200,12.222
33.300,12.261
33.400,12.598
33.500,13.033
33.600,12.869
33.700,12.606
33.800,13.040
33.900,13.971
34.000,13.702
34.100,14.131
34.200,14.260
34.300,14.488
34.400,14.615
34.500,14.741
34.600,13.772
34.700,14.102
34.800,14.330
34.900,13.761
35.000,14.190
35.100,14.717
35.200,14.743
35.300,14.470
35.400,14.398
35.500,14.327
35.600,14.156
35.700,13.986
35.800,14.315
35.900,14.542
36.000,15.465
36.100,15.786
36.200,16.006
36.300,15.627
36.400,16.147
36.500,16.564
36.600,17.377
36.700,16.992
36.800,15.713
36.900,15.635
37.000,16.354
37.100,16.372
37.200,16.688
