t,spikes
0,0
5,1
10,6378
15,227
20,3169
25,1336
30,2355
35,2550
40,2198
45,2051
50,1971
55,3764
60,1537
65,2150
70,2215
75,2625
80,2156
85,1540
90,3233
95,2250
100,1870
105,1971
110,2880
115,1797
120,2904
125,1988
130,2034
135,2053
140,2655
145,1579
150,2707
155,1967
160,4311
165,823
170,1749
175,2287
180,2820
185,1922
190,2541
195,1847
200,2374
205,3000
210,1667
215,2350
220,2336
225,2165
230,2497
235,1886
240,1995
245,1911
250,2916
255,3155
260,1272
265,3277
270,1482
275,2427
280,2652
285,1829
290,2282
295,2688
300,2594
305,1900
310,2293
315,2076
320,1690
325,2738
330,1866
335,2284
340,1728
345,2617
350,2064
355,2251
360,2314
365,2097
370,2640
375,2115
380,2347
385,1836
390,2218
395,2824
400,1553
405,3031
410,1727
415,2984
420,2235
425,1320
430,2268
435,2821
440,1500
445,3035
450,1563
455,2450
460,2142
465,2078
470,2320
475,1944
480,2450
485,1858
490,2988
495,2004
500,1794
505,3074
510,1522
515,3119
520,1668
525,2602
530,1801
535,2426
540,2072
545,2037
550,2250
555,2655
560,2394
565,1532
570,2639
575,2660
580,2309
585,2097
590,1790
595,2033
600,2017
605,3535
610,1583
615,2039
620,2800
625,2093
630,2170
635,1791
640,3008
645,2148
650,2828
655,991
660,2663
665,1923
670,2304
675,2165
680,2613
685,2236
690,1591
695,1944
700,3518
705,1135
710,2842
715,2017
720,2750
725,1908
730,2551
735,2052
740,2576
745,1569
750,3463
755,1559
760,3581
765,1102
770,2927
775,2019
780,2494
785,1997
790,2699
795,1647
800,2324
805,1913
810,2190
815,2799
820,2518
825,1655
830,3046
835,1929
840,1890
845,2871
850,1447
855,2170
860,2038
865,2744
870,1492
875,2573
880,2316
885,2694
890,1581
895,1636
900,3305
905,1090
910,3034
915,1536
920,1862
925,2594
930,2966
935,1678
940,3441
945,1257
950,2200
955,2514
960,3014
965,2268
970,1858
975,1956
980,3356
985,1193
990,2920
995,1582
1000,44
