t,spikes
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,48
11,526
12,2942
13,1888
14,216
15,40
16,50
17,98
18,150
19,257
20,401
21,369
22,772
23,774
24,739
25,574
26,249
27,159
28,253
29,360
30,553
31,375
32,406
33,247
34,214
35,372
36,393
37,804
38,617
39,557
40,379
41,248
42,349
43,444
44,438
45,283
46,271
47,342
48,372
49,261
50,452
51,676
52,581
53,517
54,481
55,396
56,463
57,616
58,255
59,334
60,324
61,352
62,449
63,412
64,445
65,444
66,824
67,598
68,277
69,167
70,245
71,623
72,813
73,693
74,345
75,239
76,148
77,265
78,509
79,334
80,340
81,695
82,603
83,479
84,396
85,848
86,420
87,219
88,124
89,171
90,291
91,448
92,619
93,477
94,522
95,545
96,616
97,537
98,272
99,165
100,331
101,284
102,399
103,447
104,485
105,317
106,429
107,724
108,493
109,631
110,374
111,159
112,169
113,286
114,638
115,451
116,282
117,405
118,323
119,533
120,725
121,479
122,467
123,353
124,440
125,219
126,252
127,420
128,535
129,754
130,289
131,395
132,349
133,309
134,389
135,731
136,737
137,462
138,417
139,625
140,561
141,365
142,247
143,186
144,178
145,399
146,443
147,306
148,683
149,598
150,393
151,388
152,382
153,430
154,664
155,900
156,516
157,317
158,189
159,216
160,308
161,482
162,548
163,439
164,386
165,377
166,344
167,435
168,437
169,620
170,320
171,442
172,298
173,264
174,499
175,508
176,703
177,459
178,348
179,414
180,594
181,487
182,534
183,702
184,481
185,437
186,198
187,190
188,351
189,647
190,595
191,372
192,209
193,297
194,419
195,408
196,592
197,1097
198,707
199,300
200,447
201,298
202,133
203,213
204,505
205,378
206,564
207,431
208,374
209,409
210,578
211,362
212,345
213,384
214,510
215,490
216,660
217,759
218,333
219,162
220,174
221,214
222,259
223,395
224,517
225,458
226,887
227,895
228,630
229,320
230,375
231,419
232,388
233,531
234,348
235,266
236,379
237,275
238,154
239,206
240,313
241,413
242,721
243,1332
244,475
245,301
246,191
247,257
248,323
249,555
250,467
251,386
252,535
253,776
254,599
255,382
256,408
257,561
258,405
259,292
260,278
261,389
262,312
263,336
264,658
265,626
266,571
267,343
268,511
269,485
270,388
271,478
272,381
273,445
274,602
275,791
276,705
277,465
278,166
279,119
280,215
281,265
282,297
283,466
284,684
285,457
286,591
287,335
288,385
289,376
290,246
291,335
292,413
293,685
294,485
295,300
296,338
297,390
298,503
299,326
300,362
301,331
302,419
303,505
304,896
305,395
306,449
307,291
308,375
309,319
310,276
311,422
312,326
313,575
314,537
315,375
316,447
317,444
318,544
319,529
320,578
321,462
322,418
323,375
324,425
325,382
326,299
327,382
328,424
329,498
330,660
331,709
332,189
333,208
334,341
335,465
336,472
337,618
338,409
339,342
340,514
341,700
342,607
343,338
344,232
345,147
346,312
347,535
348,378
349,456
350,396
351,600
352,615
353,503
354,382
355,430
356,383
357,331
358,249
359,237
360,363
361,520
362,642
363,851
364,704
365,663
366,395
367,375
368,277
369,188
370,326
371,608
372,418
373,447
374,511
375,617
376,718
377,523
378,194
379,148
380,219
381,355
382,567
383,680
384,554
385,321
386,205
387,186
388,310
389,502
390,600
391,525
392,357
393,312
394,395
395,367
396,447
397,471
398,465
399,541
400,564
401,765
402,766
403,367
404,407
405,394
406,401
407,369
408,252
409,340
410,579
411,626
412,464
413,404
414,250
415,246
416,406
417,492
418,380
419,446
420,462
421,451
422,346
423,438
424,455
425,225
426,157
427,479
428,879
429,1027
430,574
431,204
432,93
433,106
434,215
435,408
436,615
437,559
438,640
439,526
440,728
441,187
442,156
443,197
444,244
445,406
446,293
447,438
448,875
449,608
450,761
451,362
452,155
453,232
454,431
455,438
456,590
457,506
458,536
459,514
460,354
461,299
462,252
463,306
464,393
465,362
466,340
467,488
468,667
469,582
470,531
471,262
472,225
473,283
474,259
475,519
476,622
477,510
478,343
479,261
480,396
481,378
482,412
483,302
484,305
485,557
486,639
487,639
488,594
489,388
490,473
491,541
492,297
493,219
494,458
495,437
496,345
497,373
498,469
499,625
500,515
501,380
502,192
503,286
504,409
505,574
506,659
507,345
508,401
509,438
510,496
511,436
512,424
513,400
514,435
515,469
516,345
517,658
518,528
519,572
520,498
521,292
522,363
523,451
524,620
525,759
526,608
527,310
528,254
529,327
530,334
