t,vm
0,0.000
0.375,0.000
0.750,0.000
1.125,0.000
1.500,0.000
1.627,0.000
1.754,0.000
1.882,0.000
2.009,0.100
2.015,0.100
2.022,0.100
2.028,0.100
2.034,0.200
2.039,0.200
2.043,0.200
2.048,0.200
2.052,0.300
2.056,0.300
2.060,0.300
2.063,0.300
2.067,0.399
2.074,0.399
2.082,0.399
2.089,0.399
2.096,0.499
2.096,0.499
2.097,0.499
2.097,0.499
2.098,0.599
2.101,0.599
2.104,0.599
2.108,0.599
2.111,0.698
2.112,0.698
2.113,0.698
2.114,0.698
2.115,0.798
2.122,0.798
2.128,0.798
2.135,0.798
2.142,0.897
2.143,0.897
2.144,0.897
2.145,0.897
2.147,0.997
2.147,0.997
2.148,0.997
2.149,0.997
2.149,1.097
2.151,1.097
2.153,1.097
2.155,1.097
2.157,1.196
2.158,1.196
2.159,1.196
2.160,1.196
2.161,1.296
2.162,1.296
2.163,1.296
2.164,1.296
2.166,1.396
2.168,1.396
2.170,1.396
2.173,1.395
2.175,1.495
2.187,1.494
2.199,1.494
2.210,1.493
2.222,1.592
2.225,1.592
2.228,1.591
2.231,1.591
2.234,1.691
2.239,1.690
2.243,1.690
2.248,1.690
2.253,1.789
2.264,1.788
2.276,1.787
2.288,1.786
2.299,1.885
2.300,1.885
2.300,1.885
2.301,1.885
2.301,1.985
2.319,1.983
2.336,1.981
2.354,1.980
2.371,2.078
2.377,2.077
2.382,2.077
2.387,2.076
2.393,2.176
2.394,2.176
2.395,2.176
2.395,2.175
2.396,2.275
2.399,2.275
2.401,2.275
2.403,2.275
2.405,2.374
2.412,2.373
2.419,2.373
2.426,2.372
2.433,2.471
2.438,2.470
2.442,2.470
2.447,2.469
2.452,2.569
2.454,2.568
2.456,2.568
2.458,2.568
2.460,2.668
2.460,2.668
2.460,2.668
2.460,2.668
2.460,2.768
2.465,2.767
2.470,2.766
2.475,2.766
2.481,2.865
2.496,2.863
2.512,2.860
2.528,2.858
2.544,2.956
2.550,2.955
2.555,2.954
2.560,2.953
2.566,3.053
2.571,3.052
2.576,3.051
2.581,3.050
2.586,3.149
2.612,3.145
2.639,3.141
2.666,3.137
2.693,3.233
2.697,3.232
2.702,3.231
2.706,3.231
2.710,3.330
2.713,3.329
2.716,3.329
2.718,3.328
2.721,3.428
2.724,3.427
2.727,3.427
2.731,3.426
2.734,3.526
2.739,3.525
2.744,3.524
2.749,3.523
2.753,3.622
2.756,3.622
2.758,3.622
2.760,3.621
2.762,3.721
2.767,3.720
2.773,3.719
2.779,3.718
2.784,3.817
2.786,3.816
2.788,3.816
2.790,3.816
2.792,3.915
2.799,3.914
2.807,3.912
2.814,3.911
2.822,4.009
2.837,4.006
2.852,4.003
2.867,4.000
2.882,4.097
2.887,4.096
2.893,4.095
2.898,4.094
2.903,4.193
2.903,4.193
2.904,4.193
2.904,4.193
2.904,4.293
2.909,4.292
2.913,4.291
2.918,4.290
2.923,4.389
2.929,4.387
2.934,4.386
2.940,4.385
2.946,4.484
2.963,4.480
2.981,4.476
2.999,4.472
3.017,4.568
3.028,4.565
3.038,4.563
3.049,4.561
3.059,4.658
3.063,4.657
3.066,4.657
3.070,4.656
3.073,4.755
3.074,4.755
3.074,4.755
3.074,4.755
3.075,4.855
3.078,4.854
3.081,4.853
3.084,4.852
3.087,4.952
3.087,4.952
3.087,4.952
3.087,4.952
3.087,5.052
3.090,5.051
3.093,5.050
3.096,5.049
3.099,5.149
3.118,5.144
3.138,5.139
3.157,5.134
3.176,5.229
3.179,5.228
3.181,5.228
3.183,5.227
3.185,5.326
3.189,5.325
3.192,5.325
3.195,5.324
3.198,5.423
3.204,5.421
3.210,5.420
3.216,5.418
3.222,5.517
3.232,5.514
3.243,5.511
3.254,5.508
3.264,5.605
3.277,5.601
3.289,5.598
3.302,5.594
3.314,5.691
3.316,5.690
3.317,5.690
3.318,5.690
3.319,5.789
3.323,5.788
3.328,5.787
3.332,5.786
3.336,5.885
3.346,5.882
3.356,5.879
3.366,5.876
3.376,5.973
3.380,5.972
3.383,5.971
3.387,5.970
3.390,6.069
3.403,6.065
3.415,6.061
3.427,6.057
3.440,6.154
3.453,6.150
3.465,6.146
3.478,6.142
3.491,6.238
3.491,6.238
3.492,6.238
3.492,6.237
3.492,6.337
3.494,6.337
3.496,6.336
3.497,6.336
3.499,6.435
3.499,6.435
3.499,6.435
3.499,6.435
3.499,6.535
3.508,6.532
3.518,6.529
3.527,6.526
3.536,6.623
3.541,6.621
3.547,6.620
3.552,6.618
3.557,6.716
3.566,6.713
3.575,6.710
3.585,6.707
3.594,6.804
3.595,6.803
3.597,6.803
3.598,6.802
3.600,6.902
3.602,6.901
3.605,6.900
3.608,6.899
3.610,6.998
3.614,6.997
3.618,6.996
3.622,6.994
3.626,7.093
3.627,7.092
3.628,7.092
3.629,7.092
3.630,7.191
3.632,7.191
3.634,7.190
3.637,7.189
3.639,7.288
3.640,7.288
3.641,7.288
3.641,7.287
3.642,7.387
3.646,7.385
3.651,7.384
3.655,7.382
3.659,7.481
3.665,7.478
3.671,7.476
3.677,7.474
3.683,7.572
3.685,7.571
3.687,7.570
3.688,7.570
3.690,7.669
3.693,7.668
3.696,7.667
3.699,7.666
3.702,7.765
3.709,7.762
3.716,7.759
3.723,7.756
3.730,7.854
3.732,7.853
3.735,7.852
3.737,7.851
3.740,7.950
3.751,7.945
3.762,7.941
3.774,7.936
3.785,8.032
3.790,8.030
3.795,8.028
3.800,8.026
3.805,8.124
3.817,8.119
3.828,8.115
3.839,8.110
3.850,8.206
3.856,8.203
3.861,8.201
3.867,8.199
3.873,8.296
3.876,8.295
3.879,8.294
3.882,8.293
3.885,8.391
3.904,8.383
3.923,8.375
3.942,8.367
3.961,8.459
3.962,8.459
3.963,8.459
3.963,8.458
3.964,8.558
3.971,8.555
3.979,8.552
3.986,8.549
3.993,8.646
3.996,8.644
3.998,8.643
4.001,8.642
4.004,8.741
4.009,8.739
4.015,8.736
4.021,8.734
4.026,8.831
4.028,8.831
4.029,8.830
4.031,8.829
4.032,8.929
4.034,8.928
4.036,8.927
4.038,8.926
4.039,9.025
4.056,9.018
4.073,9.010
4.090,9.003
4.107,9.095
4.111,9.093
4.116,9.091
4.120,9.089
4.125,9.187
4.130,9.184
4.135,9.182
4.141,9.180
4.146,9.277
4.150,9.275
4.154,9.273
4.157,9.272
4.161,9.370
4.163,9.369
4.164,9.369
4.165,9.368
4.167,9.468
4.169,9.466
4.172,9.465
4.174,9.464
4.177,9.563
4.181,9.560
4.186,9.558
4.191,9.556
4.196,9.654
4.199,9.652
4.202,9.650
4.206,9.649
4.209,9.747
4.212,9.746
4.215,9.744
4.218,9.743
4.221,9.841
4.228,9.838
4.234,9.835
4.240,9.832
4.247,9.929
4.248,9.928
4.250,9.927
4.252,9.926
4.253,10.025
4.256,10.024
4.258,10.023
4.261,10.022
4.263,10.121
4.270,10.117
4.277,10.114
4.284,10.110
4.291,10.207
4.301,10.201
4.312,10.196
4.322,10.190
4.333,10.285
4.333,10.285
4.334,10.284
4.335,10.284
4.335,10.384
4.336,10.384
4.336,10.383
4.337,10.383
4.337,10.483
4.339,10.482
4.341,10.481
4.344,10.479
4.346,10.578
4.350,10.576
4.354,10.574
4.358,10.572
4.362,10.670
4.362,10.670
4.362,10.670
4.362,10.670
4.363,10.770
4.380,10.760
4.397,10.751
4.415,10.741
4.432,10.832
4.434,10.831
4.436,10.830
4.438,10.829
4.440,10.928
4.441,10.927
4.442,10.927
4.443,10.926
4.445,11.025
4.445,11.025
4.446,11.024
4.447,11.024
4.448,11.124
4.448,11.123
4.449,11.123
4.449,11.123
4.450,11.222
4.470,11.211
4.491,11.199
4.512,11.188
4.533,11.276
4.534,11.275
4.536,11.274
4.537,11.274
4.539,11.373
4.542,11.370
4.546,11.368
4.550,11.366
4.554,11.464
4.557,11.462
4.560,11.461
4.563,11.459
4.566,11.557
4.566,11.557
4.567,11.557
4.567,11.556
4.568,11.656
4.570,11.655
4.572,11.653
4.574,11.652
4.577,11.751
4.580,11.749
4.583,11.747
4.586,11.745
4.589,11.843
4.599,11.838
4.608,11.833
4.617,11.827
4.626,11.922
4.638,11.915
4.650,11.908
4.661,11.901
4.673,11.994
4.673,11.994
4.673,11.993
4.674,11.993
4.674,12.093
4.677,12.091
4.681,12.089
4.685,12.087
4.688,12.185
4.689,12.184
4.690,12.184
4.691,12.183
4.692,12.282
4.699,12.278
4.707,12.273
4.714,12.268
4.722,12.364
4.732,12.358
4.742,12.351
4.752,12.345
4.762,12.439
4.765,12.437
4.767,12.436
4.770,12.434
4.773,12.533
4.773,12.532
4.774,12.532
4.775,12.531
4.776,12.631
4.776,12.631
4.776,12.630
4.776,12.630
4.776,12.730
4.797,12.717
4.817,12.704
4.837,12.692
4.857,12.779
4.860,12.777
4.862,12.776
4.864,12.774
4.867,12.873
4.869,12.871
4.872,12.869
4.875,12.868
4.877,12.966
4.878,12.966
4.878,12.965
4.878,12.965
4.879,13.065
4.881,13.064
4.883,13.062
4.885,13.061
4.888,13.159
4.888,13.159
4.888,13.159
4.888,13.159
4.888,13.259
4.889,13.258
4.891,13.257
4.892,13.256
4.893,13.355
4.900,13.351
4.908,13.346
4.915,13.341
4.922,13.436
4.937,13.426
4.951,13.417
4.965,13.407
4.980,13.497
4.987,13.493
4.994,13.488
5.001,13.483
5.008,13.579
5.010,13.577
5.012,13.576
5.014,13.575
5.016,13.673
5.019,13.671
5.023,13.669
5.026,13.666
5.029,13.764
5.031,13.763
5.033,13.761
5.036,13.760
5.038,13.858
5.039,13.858
5.040,13.857
5.041,13.856
5.042,13.955
5.043,13.955
5.043,13.954
5.044,13.954
5.045,14.053
5.048,14.051
5.052,14.049
5.055,14.046
5.058,14.144
5.068,14.137
5.079,14.129
5.089,14.122
5.099,14.215
5.114,14.205
5.128,14.194
5.143,14.184
5.157,14.274
5.162,14.271
5.166,14.267
5.171,14.264
5.176,14.360
5.180,14.357
5.185,14.354
5.189,14.351
5.194,14.447
5.202,14.442
5.209,14.436
5.217,14.431
5.224,14.525
5.228,14.523
5.231,14.520
5.235,14.518
5.238,14.615
5.239,14.615
5.239,14.615
5.239,14.615
5.239,14.715
5.245,14.710
5.251,14.706
5.257,14.701
5.263,14.797
5.288,14.779
5.312,14.761
5.337,14.743
5.361,14.825
5.363,14.824
5.364,14.823
5.366,14.821
5.367,14.920
5.373,14.916
5.379,14.912
5.384,14.908
5.390,15.003
5.400,14.996
5.410,14.988
5.420,14.981
5.430,15.073
5.437,15.068
5.444,15.063
5.451,15.058
5.458,15.152
5.474,15.140
5.491,15.127
5.508,15.115
5.524,15.202
5.528,15.199
5.533,15.196
5.537,15.193
5.541,15.290
5.542,15.289
5.543,15.288
5.544,15.287
5.545,15.386
5.547,15.385
5.548,15.384
5.549,15.383
5.550,15.482
5.552,15.481
5.553,15.480
5.554,15.479
5.555,15.578
5.560,15.575
5.564,15.572
5.568,15.568
5.572,15.665
5.575,15.663
5.578,15.660
5.581,15.658
5.584,15.756
5.602,15.742
5.619,15.728
5.637,15.714
5.655,15.800
5.660,15.796
5.666,15.791
5.672,15.787
5.677,15.882
5.678,15.882
5.678,15.882
5.679,15.881
5.679,15.981
5.679,15.981
5.680,15.981
5.680,15.980
5.680,16.080
5.684,16.077
5.687,16.075
5.690,16.072
5.694,16.169
5.704,16.161
5.715,16.152
5.726,16.144
5.736,16.235
5.755,16.220
5.774,16.205
5.792,16.189
5.811,16.274
5.816,16.270
5.821,16.266
5.826,16.263
5.830,16.359
5.834,16.355
5.838,16.352
5.842,16.349
5.846,16.446
5.856,16.438
5.865,16.430
5.875,16.422
5.885,16.514
5.891,16.509
5.898,16.503
5.905,16.497
5.912,16.592
5.915,16.589
5.918,16.586
5.922,16.584
5.925,16.681
5.931,16.676
5.936,16.671
5.942,16.667
5.947,16.762
5.952,16.758
5.957,16.754
5.962,16.750
5.966,16.846
5.972,16.841
5.979,16.836
5.985,16.831
5.991,16.925
5.994,16.923
5.998,16.920
6.001,16.917
6.004,17.015
6.007,17.012
6.010,17.009
6.013,17.007
6.016,17.104
6.028,17.094
6.040,17.084
6.052,17.074
6.063,17.164
6.064,17.163
6.065,17.162
6.066,17.162
6.066,17.261
6.068,17.260
6.069,17.259
6.070,17.258
6.072,17.357
6.082,17.347
6.093,17.338
6.104,17.329
6.114,17.420
6.126,17.409
6.138,17.399
6.150,17.389
6.161,17.479
6.166,17.474
6.172,17.470
6.177,17.465
6.182,17.561
6.184,17.559
6.186,17.557
6.188,17.556
6.190,17.654
6.194,17.651
6.197,17.647
6.201,17.644
6.205,17.841
6.206,17.839
6.208,17.838
6.210,17.836
6.212,17.934
6.215,17.932
6.218,17.929
6.220,17.927
6.223,18.024
6.234,18.015
6.245,18.005
6.256,17.995
6.266,18.085
6.272,18.080
6.278,18.075
6.284,18.070
6.289,18.165
6.292,18.162
6.295,18.159
6.298,18.156
6.301,18.254
6.305,18.251
6.308,18.248
6.311,18.245
6.315,18.342
6.322,18.334
6.330,18.327
6.338,18.320
6.346,18.413
6.347,18.412
6.348,18.411
6.350,18.409
6.351,18.508
6.362,18.498
6.372,18.489
6.383,18.479
6.393,18.569
6.395,18.567
6.397,18.566
6.399,18.564
6.401,18.662
6.417,18.647
6.432,18.633
6.448,18.618
6.464,18.703
6.467,18.700
6.470,18.697
6.474,18.694
6.477,18.791
6.483,18.785
6.489,18.780
6.495,18.774
6.502,18.868
6.502,18.867
6.503,18.866
6.504,18.866
6.505,18.965
6.512,18.959
6.518,18.952
6.525,18.946
6.531,19.040
6.536,19.035
6.542,19.030
6.547,19.025
6.552,19.120
6.553,19.119
6.554,19.118
6.556,19.117
6.557,19.216
6.558,19.215
6.559,19.214
6.560,19.213
6.561,19.312
6.569,19.304
6.577,19.296
6.586,19.288
6.594,19.380
6.601,19.373
6.608,19.366
6.615,19.360
6.621,19.453
6.627,19.448
6.633,19.442
6.638,19.437
6.644,19.531
6.646,19.530
6.647,19.528
6.649,19.527
6.650,19.625
6.651,19.624
6.652,19.623
6.653,19.622
