t,vm
0,0.000
0.200,0.000
0.400,0.000
0.600,0.000
0.800,0.000
1.000,0.000
1.200,0.000
1.400,0.000
1.600,0.000
1.800,0.000
2.000,0.000
2.200,0.300
2.400,0.697
2.600,1.090
2.800,1.379
3.000,1.866
3.200,2.747
3.400,3.020
3.600,3.190
3.800,3.558
4.000,4.022
4.200,4.182
4.400,4.241
4.600,4.599
4.800,4.953
5.000,5.104
5.200,5.453
5.400,5.599
5.600,6.043
5.800,6.283
6.000,6.420
6.200,6.756
6.400,6.889
6.600,7.321
6.800,7.648
7.000,8.272
7.200,8.489
7.400,8.705
7.600,8.818
7.800,9.130
8.000,9.340
8.200,9.847
8.400,10.249
8.600,10.647
8.800,10.841
9.000,11.233
9.200,11.721
9.400,11.805
9.600,12.187
9.800,12.466
10.000,13.042
10.200,13.112
10.400,13.682
10.600,13.645
10.800,13.810
11.000,14.072
11.200,14.132
11.400,14.292
11.600,14.249
11.800,14.708
12.000,15.061
12.200,15.011
12.400,15.162
12.600,15.311
12.800,15.659
13.000,15.803
13.200,15.846
13.400,16.288
13.600,16.526
13.800,16.762
14.000,16.795
14.200,17.228
14.400,17.556
14.600,17.982
14.800,18.303
15.000,18.821
15.200,18.933
15.400,19.045
15.600,19.355
15.800,19.563
16.000,19.768
16.200,19.871
16.400,19.774
16.600,19.777
16.800,20.080
16.800,10.000
17.000,10.000
17.200,10.000
17.400,10.000
17.600,10.000
17.800,10.000
18.000,10.000
18.200,10.000
18.400,10.000
18.600,10.000
18.800,10.000
19.000,10.500
19.200,10.696
19.400,10.890
19.600,11.481
19.800,11.867
20.000,12.549
20.200,12.724
20.400,13.097
20.600,13.567
20.800,13.732
21.000,14.295
21.200,14.353
21.400,14.610
21.600,14.665
21.800,15.119
22.000,15.469
22.200,16.315
22.400,16.752
22.600,16.986
22.800,17.217
23.000,17.445
23.200,17.872
23.400,18.094
23.600,18.314
23.800,18.432
24.000,18.548
24.200,18.564
24.400,18.779
24.600,19.092
24.800,19.502
25.000,19.808
25.200,20.011
25.200,10.000
25.400,10.000
25.600,10.000
25.800,10.000
26.000,10.000
26.200,10.000
26.400,10.000
26.600,10.000
26.800,10.000
27.000,10.000
27.200,10.000
27.400,10.100
27.600,10.600
27.800,10.795
28.000,11.187
28.200,11.576
28.400,11.961
28.600,12.142
28.800,12.521
29.000,12.796
29.200,12.869
29.400,13.141
29.600,13.610
29.800,13.475
30.000,13.841
30.200,14.103
30.400,14.563
30.600,15.318
30.800,15.865
31.000,16.307
31.200,16.545
31.400,16.980
31.600,17.712
31.800,17.835
32.000,18.058
32.200,18.278
32.400,18.496
32.600,19.012
32.800,19.323
33.000,19.331
33.200,19.538
33.400,19.644
33.600,19.549
33.800,19.854
34.000,19.957
34.200,20.158
34.200,10.000
34.400,10.000
34.600,10.000
34.800,10.000
35.000,10.000
35.200,10.000
35.400,10.000
35.600,10.000
35.800,10.000
36.000,10.000
36.200,9.900
36.400,10.002
36.600,10.202
36.800,9.801
37.000,9.703
37.200,9.907
37.400,10.308
37.600,11.006
37.800,11.096
38.000,11.686
38.200,11.570
38.400,11.954
38.600,12.835
38.800,12.708
39.000,13.381
39.200,13.548
39.400,13.713
39.600,13.977
39.800,14.338
40.000,14.595
40.200,15.050
40.400,15.100
40.600,15.450
40.800,15.396
41.000,15.643
41.200,15.887
41.400,15.829
41.600,16.272
41.800,16.310
42.000,16.648
42.200,17.082
42.400,17.412
42.600,17.339
42.800,18.066
43.000,18.786
43.200,19.200
43.400,19.708
43.600,20.112
43.600,10.000
43.800,10.000
44.000,10.000
44.200,10.000
44.400,10.000
44.600,10.000
44.800,10.000
45.000,10.000
45.200,10.000
45.400,10.000
45.600,9.900
45.800,9.502
46.000,9.707
46.200,9.811
46.400,10.613
46.600,10.308
46.800,10.705
47.000,11.199
47.200,11.387
47.400,11.974
47.600,12.255
47.800,12.433
48.000,12.809
48.200,13.082
48.400,13.251
48.600,13.620
48.800,13.484
49.000,13.350
49.200,13.817
49.400,13.880
49.600,14.341
49.800,14.399
50.000,14.455
50.200,14.712
50.400,15.465
50.600,15.111
50.800,15.461
51.000,15.707
51.200,15.651
51.400,15.295
51.600,15.843
51.800,16.485
52.000,16.621
52.200,16.656
52.400,16.890
52.600,17.722
52.800,17.946
53.000,17.867
53.200,17.989
53.400,18.210
53.600,18.429
53.800,18.946
54.000,18.657
54.200,18.472
54.400,19.288
54.600,19.696
54.800,20.500
54.800,10.000
55.000,10.000
55.200,10.000
55.400,10.000
55.600,10.000
55.800,10.000
56.000,10.000
56.200,10.000
56.400,10.000
56.600,10.000
56.800,9.900
57.000,9.602
57.200,9.406
57.400,9.713
57.600,9.916
57.800,9.818
58.000,10.420
58.200,10.816
58.400,10.809
58.600,11.301
58.800,11.889
59.000,12.170
59.200,12.449
59.400,12.625
59.600,13.400
59.800,13.566
60.000,13.631
60.200,13.996
60.400,14.556
60.600,15.112
60.800,15.461
61.000,15.807
61.200,15.050
61.400,15.400
61.600,15.547
61.800,16.092
62.000,16.432
62.200,16.769
62.400,17.202
62.600,17.631
62.800,18.055
63.000,17.676
63.200,17.800
63.400,18.223
63.600,18.541
63.800,18.857
64.000,19.269
64.200,19.278
64.400,19.386
64.600,19.693
64.800,19.697
65.000,19.901
65.200,19.903
65.400,19.705
65.600,19.309
65.800,19.217
66.000,19.325
66.200,19.133
66.400,19.743
66.600,20.246
66.600,10.000
66.800,10.000
67.000,10.000
67.200,10.000
67.400,10.000
67.600,10.000
67.800,10.000
68.000,10.000
68.200,10.000
68.400,10.000
68.600,9.900
68.800,10.202
69.000,10.900
69.200,11.792
69.400,12.175
69.600,12.854
69.800,13.026
70.000,13.596
70.200,13.161
70.400,13.430
70.600,13.696
70.800,14.060
71.000,14.420
71.200,14.177
71.400,14.435
71.600,15.292
71.800,15.740
72.000,15.283
72.200,15.331
72.400,15.778
72.600,16.021
72.800,16.762
73.000,17.195
73.200,17.224
73.400,17.153
73.600,17.282
73.800,17.910
74.000,17.832
74.200,17.754
74.400,17.778
74.600,17.601
74.800,17.826
75.000,18.548
75.200,18.764
75.400,18.677
75.600,19.391
75.800,19.698
76.000,19.002
76.200,19.413
76.400,19.820
76.600,20.323
76.600,10.000
76.800,10.000
77.000,10.000
77.200,10.000
77.400,10.000
77.600,10.000
77.800,10.000
78.000,10.000
78.200,10.000
78.400,10.000
78.600,9.900
78.800,10.302
79.000,10.299
79.200,9.997
79.400,10.298
79.600,10.495
79.800,10.891
80.000,10.982
80.200,11.273
80.400,11.661
80.600,12.045
80.800,12.725
81.000,12.798
81.200,13.471
81.400,13.737
81.600,14.300
81.800,15.158
82.000,15.607
