t,vm,vm
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0.06,0.06
2.2,0.15,0.149
2.3,0.189,0.188
2.4,0.228,0.227
2.5,0.287,0.285
2.6,0.315,0.314
2.7,0.324,0.322
2.8,0.392,0.39
2.9,0.41,0.408
3,0.448,0.446
3.1,0.516,0.513
3.2,0.543,0.541
3.3,0.561,0.558
3.4,0.608,0.605
3.5,0.655,0.652
3.6,0.692,0.688
3.7,0.768,0.764
3.8,0.804,0.8
3.9,0.84,0.836
4,0.866,0.862
4.1,0.902,0.897
4.2,0.967,0.963
4.3,1.022,1.018
4.4,1.077,1.072
4.5,1.122,1.117
4.6,1.186,1.181
4.7,1.23,1.225
4.8,1.274,1.268
4.9,1.338,1.332
5,1.351,1.345
5.1,1.424,1.418
5.2,1.447,1.441
5.3,1.48,1.473
5.4,1.503,1.496
5.5,1.515,1.508
5.6,1.578,1.57
5.7,1.62,1.612
5.8,1.622,1.614
5.9,1.653,1.646
6,1.695,1.688
6.1,1.737,1.729
6.2,1.768,1.76
6.3,1.819,1.811
6.4,1.86,1.852
6.5,1.881,1.872
6.6,1.941,1.933
6.7,1.992,1.983
6.8,2.072,2.063
6.9,2.131,2.122
7,2.151,2.141
7.1,2.19,2.18
7.2,2.229,2.219
7.3,2.268,2.258
7.4,2.286,2.277
7.5,2.305,2.295
7.6,2.304,2.294
7.7,2.372,2.362
7.8,2.4,2.39
7.9,2.448,2.438
8,2.476,2.465
8.1,2.514,2.503
8.2,2.541,2.53
8.3,2.618,2.607
8.4,2.655,2.644
8.5,2.712,2.7
8.6,2.728,2.717
8.7,2.755,2.743
8.8,2.811,2.799
8.9,2.897,2.885
9,2.912,2.9
9.1,2.978,2.965
9.2,3.013,3
9.3,3.058,3.045
9.4,3.073,3.06
9.5,3.077,3.065
9.6,3.102,3.089
9.7,3.156,3.143
9.8,3.221,3.207
9.9,3.264,3.251
10,3.278,3.265
10.1,3.332,3.318
10.2,3.385,3.371
10.3,3.388,3.374
10.4,3.421,3.407
10.5,3.444,3.43
10.6,3.467,3.453
10.7,3.51,3.495
10.8,3.532,3.518
10.9,3.584,3.57
11,3.616,3.602
11.1,3.688,3.674
11.2,3.72,3.705
11.3,3.761,3.746
11.4,3.792,3.778
11.5,3.794,3.779
11.6,3.805,3.79
11.7,3.846,3.831
11.8,3.846,3.831
11.9,3.877,3.862
12,3.888,3.873
12.1,3.928,3.913
12.2,3.979,3.963
12.3,4.009,3.993
12.4,4.039,4.023
12.5,4.058,4.043
12.6,4.068,4.053
12.7,4.098,4.082
12.8,4.097,4.082
12.9,4.117,4.101
13,4.126,4.111
13.1,4.166,4.15
13.2,4.245,4.229
13.3,4.294,4.278
13.4,4.302,4.286
13.5,4.361,4.344
13.6,4.399,4.383
13.7,4.417,4.401
13.8,4.445,4.428
13.9,4.463,4.446
14,4.51,4.494
14.1,4.508,4.491
14.2,4.525,4.509
14.3,4.572,4.556
14.4,4.61,4.593
14.5,4.607,4.59
14.6,4.634,4.617
14.7,4.67,4.654
14.8,4.677,4.66
14.9,4.704,4.687
15,4.76,4.743
15.1,4.796,4.779
15.2,4.822,4.805
15.3,4.838,4.821
15.4,4.884,4.867
15.5,4.89,4.872
15.6,4.885,4.868
15.7,4.871,4.854
15.8,4.886,4.869
15.9,4.982,4.965
16,4.977,4.96
16.1,5.022,5.005
16.2,5.067,5.05
16.3,5.092,5.074
16.4,5.146,5.129
16.5,5.181,5.163
16.6,5.185,5.167
16.7,5.199,5.181
16.8,5.223,5.205
16.9,5.227,5.209
17,5.24,5.223
17.1,5.264,5.247
17.2,5.278,5.26
17.3,5.312,5.294
17.4,5.325,5.307
17.5,5.348,5.331
17.6,5.362,5.344
17.7,5.375,5.357
17.8,5.398,5.38
17.9,5.431,5.413
18,5.494,5.476
18.1,5.566,5.548
18.2,5.588,5.57
18.3,5.651,5.632
18.4,5.662,5.644
18.5,5.684,5.666
18.6,5.666,5.647
18.7,5.687,5.669
18.8,5.739,5.72
18.9,5.78,5.762
19,5.791,5.773
19.1,5.812,5.794
19.2,5.843,5.825
19.3,5.834,5.815
19.4,5.805,5.787
19.5,5.856,5.837
19.6,5.867,5.848
19.7,5.897,5.879
19.8,5.908,5.889
19.9,5.948,5.93
20,5.938,5.92
20.1,5.959,5.94
20.2,5.959,5.941
20.3,5.989,5.971
20.4,5.989,5.971
20.5,5.969,5.951
20.6,6.009,5.991
20.7,6.009,5.991
20.8,6.019,6.001
20.9,6.009,5.991
21,6.039,6.021
21.1,6.059,6.041
21.2,6.079,6.061
21.3,6.068,6.05
21.4,6.098,6.08
21.5,6.127,6.109
21.6,6.187,6.169
21.7,6.226,6.208
21.8,6.215,6.197
21.9,6.254,6.235
22,6.282,6.264
22.1,6.271,6.253
22.2,6.28,6.262
22.3,6.288,6.27
22.4,6.307,6.289
22.5,6.345,6.327
22.6,6.384,6.365
22.7,6.442,6.423
22.8,6.469,6.451
22.9,6.497,6.479
23,6.525,6.506
23.1,6.542,6.523
23.2,6.569,6.551
23.3,6.556,6.538
23.4,6.544,6.525
23.5,6.561,6.543
23.6,6.578,6.56
23.7,6.585,6.567
23.8,6.602,6.584
23.9,6.589,6.571
24,6.596,6.578
24.1,6.623,6.605
24.2,6.63,6.612
24.3,6.647,6.629
24.4,6.664,6.646
24.5,6.701,6.682
24.6,6.707,6.689
24.7,6.763,6.745
24.8,6.78,6.761
24.9,6.756,6.738
25,6.762,6.744
25.1,6.808,6.79
25.2,6.834,6.816
25.3,6.84,6.822
25.4,6.846,6.828
25.5,6.842,6.824
25.6,6.837,6.82
25.7,6.863,6.845
25.8,6.889,6.871
25.9,6.914,6.896
26,6.93,6.912
26.1,6.955,6.937
26.2,6.95,6.933
26.3,6.956,6.938
26.4,6.981,6.963
26.5,7.026,7.008
26.6,7.071,7.053
26.7,7.075,7.057
