t,vm
0,0.000
0.200,0.000
0.400,0.000
0.600,0.000
0.800,0.000
1.000,0.000
1.200,0.000
1.400,0.000
1.600,0.000
1.800,0.000
2.000,0.000
2.200,0.059
2.400,0.138
2.600,0.216
2.800,0.273
3.000,0.369
3.200,0.544
3.400,0.598
3.600,0.632
3.800,0.705
4.000,0.797
4.200,0.828
4.400,0.840
4.600,0.911
4.800,0.981
5.000,1.011
5.200,1.080
5.400,1.109
5.600,1.197
5.800,1.245
6.000,1.272
6.200,1.339
6.400,1.365
6.600,1.450
6.800,1.515
7.000,1.639
7.200,1.682
7.400,1.725
7.600,1.747
7.800,1.809
8.000,1.851
8.200,1.951
8.400,2.031
8.600,2.110
8.800,2.148
9.000,2.226
9.200,2.323
9.400,2.339
9.600,2.415
9.800,2.471
10.000,2.585
10.200,2.599
10.400,2.712
10.600,2.705
10.800,2.737
11.000,2.789
11.200,2.801
11.400,2.833
11.600,2.825
11.800,2.916
12.000,2.986
12.200,2.976
12.400,3.006
12.600,3.036
12.800,3.104
13.000,3.133
13.200,3.142
13.400,3.229
13.600,3.277
13.800,3.323
14.000,3.330
14.200,3.416
14.400,3.481
14.600,3.566
14.800,3.629
15.000,3.732
15.200,3.754
15.400,3.777
15.600,3.838
15.800,3.860
16.000,3.901
16.200,3.921
16.400,3.902
16.600,3.903
16.800,3.944
17.000,4.004
17.200,4.043
17.400,4.102
17.600,4.121
17.800,4.160
18.000,4.178
18.200,4.196
18.400,4.293
18.600,4.330
18.800,4.386
19.000,4.461
19.200,4.476
19.400,4.491
19.600,4.546
19.800,4.600
20.000,4.713
20.200,4.726
20.400,4.778
20.600,4.849
20.800,4.861
21.000,4.912
21.200,4.863
21.400,4.894
21.600,4.885
21.800,4.956
22.000,4.986
22.200,5.075
22.400,5.144
22.600,5.172
22.800,5.180
23.000,5.208
23.200,5.255
23.400,5.263
23.600,5.290
23.800,5.297
24.000,5.304
24.200,5.291
24.400,5.318
24.600,5.364
24.800,5.410
25.000,5.456
25.200,5.481
25.400,5.525
25.600,5.609
25.800,5.673
26.000,5.676
26.200,5.699
26.400,5.662
26.600,5.646
26.800,5.689
27.000,5.712
27.200,5.695
27.400,5.678
27.600,5.721
27.800,5.704
28.000,5.746
28.200,5.788
28.400,5.830
28.600,5.832
28.800,5.873
29.000,5.874
29.200,5.856
29.400,5.877
29.600,5.898
29.800,5.840
30.000,5.861
30.200,5.843
30.400,5.884
30.600,5.984
30.800,6.024
31.000,6.083
31.200,6.082
31.400,6.121
31.600,6.199
31.800,6.177
32.000,6.195
32.200,6.213
32.400,6.211
32.600,6.248
32.800,6.266
33.000,6.243
33.200,6.241
33.400,6.239
33.600,6.296
33.800,6.332
34.000,6.309
34.200,6.306
34.400,6.323
34.600,6.379
34.800,6.336
35.000,6.372
35.200,6.388
35.400,6.483
35.600,6.479
35.800,6.494
36.000,6.509
36.200,6.563
36.400,6.538
36.600,6.532
36.800,6.507
37.000,6.443
37.200,6.438
37.400,6.474
37.600,6.568
37.800,6.542
38.000,6.616
38.200,6.650
38.400,6.663
38.600,6.756
38.800,6.768
39.000,6.800
39.200,6.752
39.400,6.745
39.600,6.738
39.800,6.770
40.000,6.762
40.200,6.775
40.400,6.747
40.600,6.779
40.800,6.791
41.000,6.803
41.200,6.815
41.400,6.767
41.600,6.819
41.800,6.791
42.000,6.803
42.200,6.835
42.400,6.827
42.600,6.858
42.800,6.949
43.000,7.058
43.200,7.087
43.400,7.136
43.600,7.144
43.800,7.133
44.000,7.161
44.200,7.110
44.400,7.119
44.600,7.128
44.800,7.176
45.000,7.224
45.200,7.232
45.400,7.219
45.600,7.267
45.800,7.234
46.000,7.202
46.200,7.131
46.400,7.219
46.600,7.187
46.800,7.175
47.000,7.203
47.200,7.171
47.400,7.219
47.600,7.207
47.800,7.175
48.000,7.203
48.200,7.192
48.400,7.180
48.600,7.188
48.800,7.176
49.000,7.105
49.200,7.153
49.400,7.102
49.600,7.131
49.800,7.100
50.000,7.069
50.200,7.079
50.400,7.127
50.600,7.096
50.800,7.105
51.000,7.075
51.200,7.104
51.400,7.093
51.600,7.141
51.800,7.209
52.000,7.276
52.200,7.224
52.400,7.212
52.600,7.299
52.800,7.306
53.000,7.253
53.200,7.221
53.400,7.229
53.600,7.217
53.800,7.284
54.000,7.291
54.200,7.318
54.400,7.443
54.600,7.449
54.800,7.494
55.000,7.479
55.200,7.484
55.400,7.509
55.600,7.514
55.800,7.559
56.000,7.484
56.200,7.449
56.400,7.415
56.600,7.421
56.800,7.446
57.000,7.432
57.200,7.438
57.400,7.423
57.600,7.370
57.800,7.376
58.000,7.402
58.200,7.408
58.400,7.354
58.600,7.400
58.800,7.446
59.000,7.451
59.200,7.457
59.400,7.522
59.600,7.566
59.800,7.511
60.000,7.456
60.200,7.462
60.400,7.507
60.600,7.551
60.800,7.536
61.000,7.521
61.200,7.505
61.400,7.471
61.600,7.456
61.800,7.462
62.000,7.467
62.200,7.472
62.400,7.497
62.600,7.522
62.800,7.566
63.000,7.551
63.200,7.516
63.400,7.540
63.600,7.525
63.800,7.550
64.000,7.594
64.200,7.637
64.400,7.601
64.600,7.605
64.800,7.569
65.000,7.554
65.200,7.519
65.400,7.523
65.600,7.489
65.800,7.414
66.000,7.400
66.200,7.406
66.400,7.432
66.600,7.497
66.800,7.502
67.000,7.547
67.200,7.551
67.400,7.496
67.600,7.481
67.800,7.427
68.000,7.472
68.200,7.497
68.400,7.542
68.600,7.546
68.800,7.492
69.000,7.556
69.200,7.640
69.400,7.663
69.600,7.726
69.800,7.709
70.000,7.751
70.200,7.714
70.400,7.697
70.600,7.680
70.800,7.664
71.000,7.647
71.200,7.611
71.400,7.595
71.600,7.658
71.800,7.701
72.000,7.665
72.200,7.688
72.400,7.711
72.600,7.674
72.800,7.697
73.000,7.720
73.200,7.663
73.400,7.587
73.600,7.572
73.800,7.596
74.000,7.540
74.200,7.584
74.400,7.549
74.600,7.553
74.800,7.558
75.000,7.602
75.200,7.685
75.400,7.629
75.600,7.692
75.800,7.675
76.000,7.639
76.200,7.741
76.400,7.783
76.600,7.786
76.800,7.768
77.000,7.691
77.200,7.674
77.400,7.677
77.600,7.700
77.800,7.664
78.000,7.667
78.200,7.631
78.400,7.674
78.600,7.677
78.800,7.700
79.000,7.683
79.200,7.667
79.400,7.650
79.600,7.634
79.800,7.638
80.000,7.701
80.200,7.704
80.400,7.706
80.600,7.709
80.800,7.772
81.000,7.734
81.200,7.777
81.400,7.759
81.600,7.801
81.800,7.843
82.000,7.923
82.200,7.944
82.400,7.925
82.600,7.925
82.800,7.966
83.000,8.006
83.200,8.006
83.400,8.025
