neuron,t
2198,11.3255
1230,11.895
5280,12.0197
1990,12.0964
4701,12.1829
7125,12.2199
1467,12.2961
5545,12.3421
5742,12.3405
6295,12.3801
4551,12.3486
7905,12.3515
8454,12.3472
2856,12.4994
4833,12.4547
2143,12.482
4004,12.4991
2239,12.5059
5253,12.5281
2132,12.5805
5101,12.547
3233,12.5986
1030,12.6159
9577,12.6246
8582,12.6533
6533,12.6931
4142,12.6842
4011,12.682
2417,12.6942
4527,12.7237
7122,12.748
8203,12.7172
7942,12.7532
8269,12.8371
4776,12.8239
10,12.843
1994,12.8518
1154,12.8382
2197,12.8801
1606,12.8611
9602,12.8641
3424,12.8675
6221,12.8826
1201,12.874
2980,12.9173
7055,12.9231
6307,12.898
7374,12.9573
6058,12.9587
6490,12.9911
3106,12.984
9813,12.9689
1390,12.9837
8752,12.9648
7000,12.9756
2508,12.9698
321,13.0178
7437,13.0551
8245,13.0056
5187,12.9992
3023,13.0012
3487,13.0134
9445,13.0116
5574,13.0058
3479,13.019
1926,13.0219
6080,13.0476
558,13.0396
8265,13.0865
3190,13.0632
6201,13.0711
7712,13.0845
4994,13.0803
9037,13.0686
3934,13.0705
3559,13.0825
4365,13.1066
3205,13.0879
2926,13.134
1457,13.1309
5024,13.0946
3878,13.1009
4995,13.1163
7747,13.1301
2771,13.1246
2899,13.1597
93,13.1425
1734,13.1936
8167,13.1917
7240,13.1839
3881,13.1695
2384,13.201
5902,13.196
2608,13.1994
2044,13.1856
1136,13.1732
8246,13.1814
8358,13.2251
6101,13.1993
7158,13.2202
825,13.258
7175,13.2171
7440,13.2472
1424,13.2385
2156,13.2511
2601,13.2317
8668,13.2617
3125,13.2898
2390,13.2299
4839,13.27
5308,13.2678
1473,13.2707
1758,13.2781
1514,13.2558
9453,13.2729
4391,13.296
2188,13.2573
3992,13.2611
9480,13.2879
4476,13.2594
104,13.2695
8680,13.268
6996,13.3051
218,13.3008
9609,13.2798
1247,13.2799
9329,13.2811
2766,13.2897
6149,13.29
4726,13.3127
5116,13.2994
8628,13.3157
3772,13.3143
1564,13.3249
2523,13.3418
3288,13.3504
2871,13.3093
9434,13.3165
6740,13.3298
1178,13.331
8182,13.3556
3539,13.3346
1920,13.3292
5396,13.3562
1862,13.395
5904,13.3674
9244,13.3832
2960,13.3716
1262,13.3471
5641,13.3649
6782,13.3631
7937,13.3888
171,13.4517
2154,13.3709
6760,13.395
2664,13.3829
1877,13.3794
267,13.395
775,13.393
5643,13.395
765,13.395
4438,13.4104
8452,13.395
2781,13.395
4742,13.4238
6640,13.4062
4630,13.4619
5321,13.395
1107,13.4163
3368,13.4307
7212,13.3964
7682,13.4516
342,13.4035
4049,13.4097
4376,13.4021
3167,13.4139
6603,13.4475
4863,13.4174
291,13.4573
1587,13.4357
7213,13.4447
2353,13.5208
8391,13.4448
7507,13.456
5195,13.4644
37,13.447
1077,13.4753
3990,13.4947
2590,13.4559
1265,13.466
8546,13.5154
9352,13.4662
762,13.4755
2167,13.5171
9142,13.4737
9080,13.4777
3627,13.4673
8046,13.5513
3066,13.4984
6086,13.5384
5835,13.5162
2031,13.4953
6299,13.5089
6636,13.4908
6421,13.5304
358,13.4944
1663,13.5179
4514,13.5197
5694,13.5289
6372,13.5336
1893,13.5079
5995,13.5129
557,13.5695
4258,13.5155
5368,13.5122
7501,13.538
543,13.5376
1732,13.5315
785,13.5431
2284,13.5688
7568,13.5873
8399,13.5668
6877,13.577
198,13.5789
6968,13.5812
7184,13.537
3886,13.567
8877,13.5583
7688,13.5718
123,13.5578
145,13.5552
706,13.6096
4793,13.5839
3966,13.5968
2912,13.5675
5583,13.5841
1114,13.57
1194,13.5692
3143,13.6174
9902,13.5765
2258,13.5848
514,13.574
8900,13.5795
292,13.5811
9433,13.5749
4845,13.5981
9467,13.5929
8341,13.5762
2300,13.6064
7379,13.585
1768,13.586
1254,13.6032
9235,13.6348
9809,13.6105
8036,13.5819
6012,13.5929
6798,13.6023
2350,13.5919
7537,13.5881
3724,13.5888
7718,13.5964
793,13.6351
1176,13.6008
891,13.5929
148,13.6073
8890,13.6062
3219,13.6218
6287,13.6122
2623,13.6394
8152,13.5975
6380,13.6049
429,13.652
7543,13.6091
8043,13.6522
3490,13.6087
8372,13.6002
6718,13.625
7452,13.6103
6106,13.6375
3950,13.6024
5890,13.638
794,13.608
5032,13.633
9761,13.6183
5154,13.6284
2518,13.6165
9567,13.6286
5257,13.6829
4791,13.6576
2841,13.6517
5850,13.644
987,13.6405
3502,13.6268
693,13.6469
7920,13.6535
1060,13.667
6951,13.6703
9107,13.6816
4737,13.6686
9785,13.6368
1413,13.6415
2658,13.7052
8833,13.6573
222,13.7148
3730,13.6829
1412,13.6577
7522,13.6514
8614,13.6567
4925,13.6959
3548,13.698
7902,13.6648
6515,13.6495
1232,13.6582
9279,13.6623
8128,13.6604
8729,13.6738
1741,13.66
2189,13.6656
7247,13.6695
5145,13.6903
4723,13.6829
4880,13.6637
3779,13.6764
9349,13.6898
6306,13.7075
4295,13.6719
2910,13.6861
5939,13.681
5795,13.6822
517,13.7056
7810,13.6829
8091,13.6829
1399,13.7199
5366,13.6829
9643,13.682
5774,13.7425
8476,13.6997
7579,13.686
9086,13.6829
5958,13.6956
5811,13.7083
9332,13.6829
6758,13.7136
6087,13.6863
5612,13.69
5511,13.6852
5327,13.6884
4622,13.6915
8800,13.7262
6848,13.7335
6448,13.7408
9251,13.6858
2997,13.7237
4996,13.7019
6571,13.6927
3996,13.7066
7438,13.7199
